,Unnamed: 0,City,Country,Max Temp,% Humidity,% Cloudiness,Wind Speed,Lat,Lng
1277,1277,Cidreira,BR,62.4,97,100,8.19,-30.1811,-50.2056
1278,1278,Provideniya,RU,42.91,75,0,11.18,64.3833,-173.3
1279,1279,Lodja,CD,67.17,70,88,1.25,-3.4833,23.4333
1280,1280,East london,ZA,61.0,79,9,12.19,-33.0153,27.9116
1281,1281,Santa rosa,AR,47.98,66,0,6.85,-36.6167,-64.2833
1282,1282,Puerto ayora,EC,70.56,96,100,4.0,-0.7393,-90.3518
1283,1283,Albany,AU,54.82,77,100,5.99,-35.0169,117.8917
1284,1284,Sao filipe,CV,75.6,74,2,15.12,14.8961,-24.4956
1285,1285,Busselton,AU,58.06,61,100,10.22,-33.65,115.3333
1286,1286,Mpika,ZM,50.79,83,8,7.27,-11.8343,31.4529
1287,1287,Khorramshahr,IR,84.16,42,0,0.0,30.4397,48.1664
1288,1288,Carnarvon,AU,70.34,51,0,6.35,-24.8667,113.6333
1289,1289,Henties bay,,72.73,32,100,16.33,-22.116,14.2845
1290,1290,Lovozero,RU,46.56,93,100,14.0,68.005,35.0117
1291,1291,East london,ZA,61.0,79,9,12.19,-33.0153,27.9116
1292,1292,Rikitea,PF,73.31,79,62,19.06,-23.1203,-134.9692
1293,1293,Thompson,CA,56.97,61,89,0.98,55.7435,-97.8558
1294,1294,Ancud,CL,49.06,93,100,28.03,-41.8697,-73.8203
1295,1295,Srednekolymsk,RU,53.15,37,6,14.76,67.45,153.6833
1296,1296,Gloria do goita,BR,73.54,96,7,5.12,-8.0017,-35.2928
1297,1297,Marienburg,SR,75.99,94,100,7.87,5.8469,-55.0216
1298,1298,Ust-nera,RU,69.6,36,36,9.1,64.5667,143.2
1299,1299,Alice springs,AU,56.75,67,40,12.66,-23.7,133.8833
1300,1300,Tongzi,CN,71.71,79,100,0.89,28.7829,105.0877
1301,1301,Slave lake,CA,63.59,48,100,11.14,55.2834,-114.769
1302,1302,Upernavik,GL,29.12,81,1,9.82,72.7868,-56.1549
1303,1303,Sitka,US,60.69,67,75,8.05,57.0531,-135.33
1304,1304,Olinda,BR,74.93,88,40,4.61,-8.0089,-34.8553
1305,1305,Hasaki,JP,63.0,87,100,21.97,35.7333,140.8333
1306,1306,Sao filipe,CV,75.6,74,2,15.12,14.8961,-24.4956
1307,1307,Kapaa,US,82.38,70,0,10.36,22.0752,-159.319
1308,1308,Portland,AU,51.78,69,79,16.15,-38.3333,141.6
1309,1309,Adrar,DZ,90.59,10,34,14.23,25.75,-1.0
1310,1310,Carutapera,BR,74.98,94,100,5.35,-1.195,-46.02
1311,1311,Pahalgam,IN,61.48,42,0,1.3,34.0333,75.3333
1312,1312,Hermanus,ZA,62.02,49,11,7.2,-34.4187,19.2345
1313,1313,Saldanha,ZA,63.59,36,0,7.38,-33.0117,17.9442
1314,1314,Punta arenas,CL,44.71,61,75,13.8,-53.15,-70.9167
1315,1315,Touros,BR,75.38,84,28,11.81,-5.1989,-35.4608
1316,1316,Boguchany,RU,49.17,71,100,6.55,58.3814,97.4531
1317,1317,Komsomolskiy,RU,67.1,82,74,6.2,43.9783,46.6985
1318,1318,Hobart,AU,49.86,76,75,26.46,-42.8794,147.3294
1319,1319,Hithadhoo,MV,82.47,70,82,4.0,-0.6,73.0833
1320,1320,Rikitea,PF,73.31,79,62,19.06,-23.1203,-134.9692
1321,1321,Albany,AU,54.82,77,100,5.99,-35.0169,117.8917
1322,1322,Taksimo,RU,66.38,55,100,2.33,56.3444,114.8794
1323,1323,Aripuana,BR,77.41,68,100,2.28,-9.1667,-60.6333
1324,1324,Ruthin,GB,52.25,98,100,2.53,53.1137,-3.3178
1325,1325,Port pirie,AU,56.91,59,34,14.29,-33.1833,138.0167
1326,1326,Albany,AU,54.82,77,100,5.99,-35.0169,117.8917
1327,1327,Atuona,PF,78.48,72,13,15.35,-9.8,-139.0333
