,City,Country,Max Temp,Lat,Lng,Hotel Name
1471,Katsuura,JP,64.42,35.1333,140.3,Katsuura Hilltop Hotel & Residence
1474,Rikitea,PF,73.31,-23.1203,-134.9692,Pension Bianca & Benoit
1478,Rikitea,PF,73.31,-23.1203,-134.9692,Pension Bianca & Benoit
1482,Victoria,SC,78.06,-4.6167,55.45,Hilton Seychelles Northolme Resort & Spa
1495,Ahipara,NZ,63.07,-35.1667,173.1667,The Huts
1496,Saldanha,ZA,63.59,-33.0117,17.9442,Saldanha Bay Hotel
1498,San cristobal,EC,72.84,-0.9045,-89.6174,Royal Galápagos Inn
1502,Kintampo,GH,70.65,8.0563,-1.7306,Midway Hotel
1503,Hamilton,BM,77.04,32.2915,-64.778,Hamilton Princess & Beach Club - A Fairmont Managed Hotel
1504,Luderitz,,69.4,-26.6481,15.1594,Lüderitz Zum Sperrgebiet
1508,Placido de castro,BR,77.18,-10.3353,-67.1856,Hotel Califórnia
1512,Rikitea,PF,73.31,-23.1203,-134.9692,Pension Bianca & Benoit
1514,Saint-philippe,RE,71.19,-21.3585,55.7679,Le four à pain
1519,Hami,CN,79.5,42.8,93.45,Zhenxin Rest House
1523,Saint-philippe,RE,71.19,-21.3585,55.7679,Le four à pain
1526,Vaini,TO,75.96,-21.2,-175.2,Tonga South Beach House
1527,East london,ZA,61.0,-33.0153,27.9116,Woodleigh Guest Lodge
1529,Vao,NC,73.36,-22.6667,167.4833,OURE TERA beach resort
1535,Mareeba,AU,79.66,-17.0,145.4333,Mareeba Motor Inn
1537,Ponnani,IN,76.32,10.767,75.9252,Chakravarthy Lodge
1540,Ketchikan,US,63.07,55.3422,-131.6461,Super 8 by Wyndham Ketchikan
1541,Yellowknife,CA,73.56,62.456,-114.3525,Super 8 by Wyndham Yellowknife
1542,Manoel urbano,BR,75.58,-8.8389,-69.2597,APARTAMENTOS
1545,Mahanoro,MG,67.14,-19.9,48.8,VANILLA
1546,East london,ZA,61.0,-33.0153,27.9116,Woodleigh Guest Lodge
1551,Rikitea,PF,73.31,-23.1203,-134.9692,Pension Bianca & Benoit
1552,Batavia,US,71.4,41.85,-88.3126,Herrington Inn & Spa
1554,Atuona,PF,78.48,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
1561,Ponta do sol,PT,64.71,32.6667,-17.1,Enotel Sunset Bay
1562,Vaini,TO,75.96,-21.2,-175.2,Tonga South Beach House
1565,Vaini,TO,75.96,-21.2,-175.2,Tonga South Beach House
1566,Lima,PE,63.9,-12.0432,-77.0282,Gran Hotel Bolivar Lima
1568,Gurkovo,BG,62.98,42.6667,25.8,Домът на БЕБО
1570,Bambous virieux,MU,69.22,-20.3428,57.7575,La Petite Ferme
1580,Sitka,US,60.69,57.0531,-135.33,Aspen Suites Hotel Sitka
1582,Rikitea,PF,73.31,-23.1203,-134.9692,Pension Bianca & Benoit
1583,Souillac,MU,71.26,-20.5167,57.5167,Bils' Villa
1586,Gandajika,CD,63.41,-6.75,23.95,Hôtel Mémorial
1587,Rikitea,PF,73.31,-23.1203,-134.9692,Pension Bianca & Benoit
1588,Arraial do cabo,BR,69.06,-22.9661,-42.0278,Ocean View Hotel
1593,Touros,BR,75.38,-5.1989,-35.4608,Bugaendrus Paradise
1594,Cape town,ZA,64.11,-33.9258,18.4232,Southern Sun Waterfront Cape Town
1595,Rikitea,PF,73.31,-23.1203,-134.9692,Pension Bianca & Benoit
1596,Atuona,PF,78.48,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
1597,Cape town,ZA,64.11,-33.9258,18.4232,Southern Sun Waterfront Cape Town
1598,Los llanos de aridane,ES,65.95,28.6585,-17.9182,Apartamentos El Patio
1599,Carnarvon,AU,70.34,-24.8667,113.6333,Good Paddock Restaurant By Gascoyne Hotel
1602,Rikitea,PF,73.31,-23.1203,-134.9692,Pension Bianca & Benoit
1604,Atuona,PF,78.48,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
1606,Puerto ayora,EC,70.56,-0.7393,-90.3518,Castillo Galapagos
1608,Fortuna,US,63.52,40.5982,-124.1573,"The Redwood Riverwalk, A Boutique Motel"
1609,Ribeira grande,PT,65.16,38.5167,-28.7,Casa da Japoneira
1611,Sambava,MG,68.23,-14.2667,50.1667,ROYAL SAVA Hôtel
1612,Victoria,SC,78.06,-4.6167,55.45,Hilton Seychelles Northolme Resort & Spa
1617,Vredendal,ZA,63.25,-31.6683,18.5012,River Lodge
1619,Rikitea,PF,73.31,-23.1203,-134.9692,Pension Bianca & Benoit
1622,Cidreira,BR,62.4,-30.1811,-50.2056,Apart Hotel Portuguêsa
1626,Tulum,MX,78.19,20.2167,-87.4667,Maison Tulum
1628,Ponta do sol,CV,73.18,17.1994,-25.0919,Sintanton Trekking i
1630,Ribeira grande,PT,65.16,38.5167,-28.7,Casa da Japoneira
1632,South sioux city,US,67.95,42.4739,-96.4136,Stoney Creek Hotel Sioux City
